gender based violence,"Gender-based violence is a phenomenon deeply rooted in gender inequality and continues to be one of the most notable human rights violations within all societies. Gender-based violence is violence directed against a person because of their gender"
child abuse,"Child abuse is doing something or failing to do something that results in harm to a child or puts a child at risk of harm. Child abuse can be physical, sexual or emotional"
Trafficking,"Human trafficking is the trade of humans for the purpose of forced labour, sexual slavery, or commercial sexual exploitation for the trafficker or others"
